id,source_text,expected_disposition,status,created_at,extracted_facts,assumptions,clarifications,unsupported_capabilities,tags,b_reason,b_passed,b_accuracy,b_evidence,b_ambiguity,b_capability,b_diversity,c_reason,c_passed,c_accuracy,c_evidence,c_ambiguity,c_capability,c_diversity,generator_model,judgeB_model,judgeC_model
m1-0001-d67280ce,用日线数据，当收盘价上穿20日均线时买入，收盘价下穿10日均线时卖出。,structured,accepted,2026-08-01T08:32:35.965Z,"[{""path"": ""market"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""cn_stock"", ""unit"": ""market"", ""evidenceQuote"": ""日线数据""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""crossesAbove"", ""value"": ""close_crosses_sma20"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价上穿20日均线时买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""crossesBelow"", ""value"": ""close_crosses_sma10"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价下穿10日均线时卖出""}]",[],[],[],"日线, 均线交叉, 买入信号, 卖出信号",所有事实均有原文证据，条件逻辑正确，参数单位明确，符合能力清单。,True,5,5,5,5,5,所有事实均有原文证据，条件明确，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0002-816c2672,我想做日频交易，收盘价突破布林带上轨就开仓，跌破中轨就平仓。,structured,accepted,2026-08-01T08:32:35.966Z,"[{""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日频""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""gt"", ""value"": ""close_gt_boll_upper"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价突破布林带上轨就开仓""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""lt"", ""value"": ""close_lt_boll_middle"", ""unit"": ""condition"", ""evidenceQuote"": ""跌破中轨就平仓""}]",[],[],[],"日频, 布林带, 突破, 开仓, 平仓",事实提取准确，证据引用正确，条件逻辑清晰，无违规。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0003-645ccf5e,只要RSI低于30就买入，高于70就卖出，用日线数据跑。,structured,accepted,2026-08-01T08:32:35.967Z,"[{""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""lt"", ""value"": ""rsi_lt_30"", ""unit"": ""condition"", ""evidenceQuote"": ""RSI低于30就买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""gt"", ""value"": ""rsi_gt_70"", ""unit"": ""condition"", ""evidenceQuote"": ""高于70就卖出""}, {""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线数据""}]",[],[],[],"RSI, 超卖, 超买, 日线",RSI条件提取正确，频率明确，证据充分。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0004-c1b9f3c6,日线级别，MACD金叉买入，死叉卖出。,structured,accepted,2026-08-01T08:32:35.968Z,"[{""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线级别""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""crossesAbove"", ""value"": ""macd_dif_crosses_dea"", ""unit"": ""condition"", ""evidenceQuote"": ""MACD金叉买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""crossesBelow"", ""value"": ""macd_dif_crosses_dea"", ""unit"": ""condition"", ""evidenceQuote"": ""死叉卖出""}]",[],[],[],"MACD, 金叉, 死叉, 日线",MACD金叉死叉提取正确，频率明确，无违规。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0005-9e8d7f97,用日线数据，当收盘价创20日新高时买入，当收盘价创20日新低时卖出。,structured,accepted,2026-08-01T08:32:35.968Z,"[{""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""gt"", ""value"": ""close_gt_previousHigh_20"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价创20日新高时买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""lt"", ""value"": ""close_lt_previousLow_20"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价创20日新低时卖出""}, {""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线数据""}]",[],[],[],"突破, 20日新高, 20日新低, 日线",突破条件提取正确，参数明确，证据充分。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0007-6169c68f,日线交易，当KDJ的J值小于0时买入，J值大于100时卖出。,structured,accepted,2026-08-01T08:32:35.969Z,"[{""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线交易""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""lt"", ""value"": ""kdj_j_lt_0"", ""unit"": ""condition"", ""evidenceQuote"": ""J值小于0时买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""gt"", ""value"": ""kdj_j_gt_100"", ""unit"": ""condition"", ""evidenceQuote"": ""J值大于100时卖出""}]",[],[],[],"KDJ, 超买超卖, 日线",KDJ条件提取正确，频率明确，无违规。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0008-e84ffa43,日线周期，收盘价高于布林带中轨时买入，低于下轨时卖出。,structured,accepted,2026-08-01T08:32:35.970Z,"[{""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线周期""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""gt"", ""value"": ""close_gt_boll_middle"", ""unit"": ""condition"", ""evidenceQuote"": ""收盘价高于布林带中轨时买入""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""lt"", ""value"": ""close_lt_boll_lower"", ""unit"": ""condition"", ""evidenceQuote"": ""低于下轨时卖出""}]",[],[],[],"布林带, 日线, 中轨, 下轨",布林带条件提取正确，证据充分，无违规。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0010-6d29267e,日线策略：当价格突破20日高点时做多，当价格跌破10日低点时平仓。,structured,accepted,2026-08-01T08:32:35.971Z,"[{""path"": ""frequency"", ""semanticType"": ""explicit_user_fact"", ""operator"": ""eq"", ""value"": ""1d"", ""unit"": ""frequency"", ""evidenceQuote"": ""日线策略""}, {""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""gt"", ""value"": ""close_gt_previousHigh_20"", ""unit"": ""condition"", ""evidenceQuote"": ""价格突破20日高点时做多""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""lt"", ""value"": ""close_lt_previousLow_10"", ""unit"": ""condition"", ""evidenceQuote"": ""价格跌破10日低点时平仓""}]",[],[],[],"突破, 日线, 20日高点, 10日低点",突破条件提取正确，参数明确，证据充分。,True,5,5,5,5,5,事实提取准确，证据充分，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0011-237026e3,当5日均线上穿20日均线时买入，当5日均线下穿20日均线时卖出，止损设为5%。,structured,accepted,2026-08-01T08:35:12.251Z,"[{""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""crossesAbove"", ""value"": ""sma5"", ""evidenceQuote"": ""5日均线上穿20日均线""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""crossesBelow"", ""value"": ""sma5"", ""evidenceQuote"": ""5日均线下穿20日均线""}, {""path"": ""risk_rule.stopLoss"", ""semanticType"": ""risk_rule"", ""operator"": ""eq"", ""value"": 5, ""unit"": ""percent"", ""evidenceQuote"": ""止损设为5%""}]",[],[],[],"均线, 交叉, 止损",策略完整，条件明确，证据引用准确，无歧义，符合能力清单。,True,5,5,5,5,5,策略清晰，事实提取准确，证据引用正确，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
m1-0012-050b3082,买入条件：RSI6小于30；卖出条件：RSI6大于70；同时设置盈利达到10%就止盈。,structured,accepted,2026-08-01T08:35:12.252Z,"[{""path"": ""entry_condition"", ""semanticType"": ""entry_condition"", ""operator"": ""lt"", ""value"": 30, ""evidenceQuote"": ""RSI6小于30""}, {""path"": ""exit_condition"", ""semanticType"": ""exit_condition"", ""operator"": ""gt"", ""value"": 70, ""evidenceQuote"": ""RSI6大于70""}, {""path"": ""risk_rule.takeProfit"", ""semanticType"": ""risk_rule"", ""operator"": ""gte"", ""value"": 10, ""unit"": ""percent"", ""evidenceQuote"": ""盈利达到10%就止盈""}]",[],[],[],"RSI, 超买超卖, 止盈",止盈条件'盈利达到10%'通常指盈利百分比达到10%，使用gte合理，但原文未明确是否包含等于，轻微歧义。,True,4,5,4,5,5,RSI条件明确，止盈设置合理，无歧义，符合能力清单。,True,5,5,5,5,5,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash
